month,date,inquiry_index,unadjusted_inquiry_index
212,2017-09,274.55629,267.15844
213,2017-10,270.3948,258.41247
214,2017-11,274.5792,252.35655
215,2017-12,282.00911,252.84244
216,2018-01,284.16547,261.16436
217,2018-02,283.55026,281.50978
218,2018-03,285.05612,319.43107
219,2018-04,278.42465,283.48867
220,2018-05,290.07592,312.05884
221,2018-06,292.76094,294.98653
222,2018-07,287.2996,302.54428
223,2018-08,290.00705,310.85737
224,2018-09,288.74492,278.49287
225,2018-10,294.53482,280.60427
226,2018-11,291.49755,268.04187
227,2018-12,291.47613,260.68731
228,2019-01,285.77599,262.90472
229,2019-02,277.11914,275.80282
230,2019-03,287.14721,324.81558
231,2019-04,285.42109,293.00764
232,2019-05,290.6864,312.31503
233,2019-06,287.5669600000001,290.19833
234,2019-07,293.41957,307.3899
235,2019-08,298.41133,317.93807
236,2019-09,293.31969,280.97973
237,2019-10,297.15365,283.28548
238,2019-11,304.60199,279.62808
239,2019-12,297.06237,265.40042
240,2020-01,294.27149,271.3945000000001
241,2020-02,297.27072,296.29842
242,2020-03,213.78562,243.39856
243,2020-04,209.98717,216.93096
244,2020-05,291.85445,312.72583
245,2020-06,310.15796,313.28681
246,2020-07,293.67564,306.20169
247,2020-08,277.41036,294.28862
248,2020-09,285.39246,272.67547
249,2020-10,285.30343,272.55621
250,2020-11,273.16764,249.91828
251,2020-12,287.14353,256.96365
252,2021-01,296.65774,274.19497
253,2021-02,261.16058,260.59013
254,2021-03,326.10111,372.75498
255,2021-04,312.29492,323.99841
256,2021-05,296.68794,316.5952600000001
257,2021-06,293.76088,296.32051
258,2021-07,289.80389,300.4638
259,2021-08,268.77144,284.43394
260,2021-09,279.15542,267.26446
261,2021-10,279.70757,268.3069
262,2021-11,277.3057,253.04563
263,2021-12,275.37386,247.89081
264,2022-01,282.57195,261.13786
265,2022-02,271.46248,271.05879
266,2022-03,278.07046,318.03525
267,2022-04,281.27465,291.96519
268,2022-05,270.7505,287.95441
269,2022-06,275.6889,276.86735
270,2022-07,267.77331,276.58907
271,2022-08,270.9846,286.23614
272,2022-09,275.02332,264.98079
273,2022-10,275.56967,265.11772
274,2022-11,267.07239,243.29255
275,2022-12,263.13345,239.58214
276,2023-01,271.63271,251.03582
277,2023-02,255.91081,255.03777
278,2023-03,248.23814,283.67419
279,2023-04,250.42263,259.12364
280,2023-05,259.43587,274.59693
281,2023-06,262.52879,262.5116
282,2023-07,260.70405,268.43058
283,2023-08,258.99052,273.38222
284,2023-09,260.46561,252.67017
285,2023-10,253.55198,245.09475
286,2023-11,252.74269,230.4828
287,2023-12,259.22997,238.89748
288,2024-01,255.36601,235.77013
289,2024-02,262.09629,260.39578
290,2024-03,248.11602,282.90119
291,2024-04,259.41881,266.84483
292,2024-05,264.45565,278.69606
293,2024-06,256.12394,255.05985
294,2024-07,261.03998,268.73979
295,2024-08,264.61486,279.5662400000001
296,2024-09,254.19921,248.02332
297,2024-10,267.88017,259.34891
298,2024-11,270.36799,247.0648
299,2024-12,265.49285,247.29891
300,2025-01,258.86658,238.72963
301,2025-02,252.54377,250.34675
302,2025-03,269.30646,306.66549
303,2025-04,266.62164,272.72848
304,2025-05,262.54209,275.48478
305,2025-06,259.17166,257.20217
306,2025-07,263.50424,271.63302
307,2025-08,262.75146,277.94956
308,2025-09,267.63227,261.7916
309,2025-10,261.55007,253.55802
310,2025-11,262.83931,240.8587
311,2025-12,266.84237,249.95362
312,2026-01,263.37187,242.56813
313,2026-02,257.70065,255.24979
314,2026-03,255.30207,290.72397
315,2026-04,252.23506,257.36561
316,2026-05,248.29538,259.58302
317,2026-06,258.83326,256.17739
