month,date,tightness_index,unadjusted_credit_tightness_index
224,2018-09,86.05055,87.44166000000001
225,2018-10,85.67991000000001,86.70496000000001
226,2018-11,85.30548,85.14999
227,2018-12,85.28148,84.19653000000001
228,2019-01,85.54949000000001,87.34868
229,2019-02,84.21592000000001,82.32852000000001
230,2019-03,83.03034000000001,80.81169000000001
231,2019-04,83.94441,83.54673000000001
232,2019-05,83.19374000000001,82.78961000000001
233,2019-06,83.05503,84.66199
234,2019-07,82.50928,82.99914000000001
235,2019-08,81.79393,81.97073
236,2019-09,83.06402000000001,84.26625000000001
237,2019-10,83.47717,84.26782
238,2019-11,81.65179000000001,81.55834
239,2019-12,83.08188000000001,81.97634000000001
240,2020-01,84.23070000000001,85.90781000000001
241,2020-02,85.60997,83.79177000000001
242,2020-03,94.02322000000001,91.52752000000001
243,2020-04,92.76744000000001,92.17406000000001
244,2020-05,89.06019000000001,88.88837000000001
245,2020-06,86.89112,88.48763000000001
246,2020-07,87.33679000000001,87.86044000000001
247,2020-08,86.91004000000001,87.32428
248,2020-09,84.99778000000001,86.08438000000001
249,2020-10,84.9842,85.77966000000001
250,2020-11,85.86622000000001,85.84453000000001
251,2020-12,84.34728000000001,83.22232000000001
252,2021-01,83.64643000000001,85.04099000000001
253,2021-02,84.43982000000001,82.64538
254,2021-03,81.80676000000001,79.73280000000001
255,2021-04,81.39613000000001,80.75795000000001
256,2021-05,81.74649000000001,81.78955000000001
257,2021-06,82.5528,83.97361000000001
258,2021-07,82.92389,83.39171
259,2021-08,84.59005000000001,85.17488
260,2021-09,85.25472000000001,86.24593
261,2021-10,84.64122,85.51692000000001
262,2021-11,85.76272,85.88773
263,2021-12,87.07063000000001,85.89345
264,2022-01,87.95422000000001,89.22271000000001
265,2022-02,88.44575,86.52473000000001
266,2022-03,88.93921,86.67834000000001
267,2022-04,87.99593,87.13637000000001
268,2022-05,89.11147000000001,89.27671000000001
269,2022-06,89.01035,90.46985000000001
270,2022-07,89.83202000000001,90.31790000000001
271,2022-08,89.95975000000001,90.79259
272,2022-09,89.60106,90.61169000000001
273,2022-10,89.29778,90.39432000000001
274,2022-11,91.28141000000001,91.45172000000001
275,2022-12,89.82011000000001,88.56503000000001
276,2023-01,87.71119,88.86191000000001
277,2023-02,88.14951000000001,86.16023000000001
278,2023-03,89.03235000000001,86.76741000000001
279,2023-04,88.58482000000001,87.62993
280,2023-05,89.13603000000001,89.33444
281,2023-06,88.59616000000001,89.97119000000001
282,2023-07,88.62901000000001,89.13797000000001
283,2023-08,88.31643000000001,89.21116000000001
284,2023-09,87.11089000000001,88.13694000000001
285,2023-10,88.67407,89.93929000000001
286,2023-11,88.08172,88.23979000000001
287,2023-12,87.27467,86.02071000000001
288,2024-01,86.64028,87.76493000000001
289,2024-02,87.0605,84.98103
290,2024-03,86.14688000000001,83.92912000000001
291,2024-04,87.29221000000001,86.28646000000001
292,2024-05,86.01045000000001,86.2171
293,2024-06,85.90686000000001,87.20902000000001
294,2024-07,85.32296000000001,85.8541
295,2024-08,84.7119,85.5874
296,2024-09,85.63359000000001,86.67874
297,2024-10,85.07369000000001,86.42855
298,2024-11,82.90418000000001,83.02245000000001
299,2024-12,83.31657000000001,82.09424000000001
300,2025-01,85.02365,86.06561000000001
301,2025-02,83.84840000000001,81.76374000000001
